cell_token,level,center_lat,center_lng,id
4649a7,10,57.10475329563892,8.857959124973474,5064762874396672000
4649b4,9,57.26077994883435,8.577746570794233,5064777168047833088
4649bc,9,57.08293170980771,8.51906256679226,5064785964140855296
4649f3,10,56.785220925604385,8.226337351457039,5064846437280382976
4649f5,10,56.69658230547431,8.198442090130042,5064848636303638528
464a1,8,56.48759615992713,7.9402788823557975,5064878323117588480
464a24,9,56.551087505701375,8.34692944510153,5064900313350144000
464a2c,9,56.533691166828326,8.600788709078044,5064909109443166208
464a34,9,56.357178512554206,8.543026880105408,5064917905536188416
464a39,10,56.32602187070996,8.339791825808303,5064923403094327296
464a3f,10,56.33446311164436,8.214031069484065,5064930000164093952
464a41,10,56.24624018655778,8.18649293647122,5064932199187349504
464a43,10,56.158092886486436,8.159106745775647,5064934398210605056
464a47,10,56.23784430928154,8.311843895832283,5064938796257116160
464a4c,9,56.18096237004687,8.485901687277904,5064944293815255040
464a55,10,55.956830225144365,8.477594199132605,5064954189419905024
464a57,10,55.965367116049926,8.353189898270962,5064956388443160576
464a59,10,55.97376601125366,8.228919813657445,5064958587466416128
464a5b,10,56.06171583068096,8.25640908865988,5064960786489671680
464a5d,10,56.070021760517655,8.131871307766202,5064962985512927232
464ab,8,55.431336158974275,7.628991793927161,5065054244978032640
464ac3,10,55.53518272115852,8.093707850485885,5065075135698960384
464ad9,10,55.43130434341286,8.311025987339915,5065099324954771456
464adf,10,55.51869586400354,8.33841145677596,5065105922024538112
464ae5,10,55.702116219316586,8.27042294790595,5065112519094304768
464ae7,10,55.61452192261159,8.243133683756652,5065114718117560320
464aec,9,55.67062208833857,8.072498447749334,5065120215675699200
464af1,10,55.798097927616766,8.174391617153724,5065125713233838080
464af7,10,55.88589319715091,8.201581046079006,5065132310303604736
464af9,10,55.87753935117552,8.325449889311482,5065134509326860288
464afb,10,55.78978887324107,8.29786129643514,5065136708350115840
464aff,10,55.86904822834111,8.449453035737562,5065141106396626944
464b04,9,55.81222589602455,8.621393750065222,5065146603954765824
464b1c,9,55.63710962923813,8.564531971549528,5065172992233832448
464b23,10,55.50166951928004,8.583647686209467,5065180688815226880
464b27,10,55.422904000824765,8.433187378854225,5065185086861737984
464b2c,9,55.2878169864052,8.452642115201773,5065190584419876864
464b34,9,55.27061571127393,8.696324245013075,5065199380512899072
464b3c,9,55.44491868855869,8.753521470783689,5065208176605921280
464b4c,9,55.25287602245701,8.940519791223892,5065225768791965696
464b55,10,55.186521642323406,9.231397086768753,5065235664396615680
464b57,10,55.273376421307006,9.261580610938283,5065237863419871232
464b7,8,55.67942076584778,9.212837310057132,5065265351210565632
464b85,10,55.98068755433841,9.383169558498114,5065288440954748928
464b8c,9,56.10722460020769,9.49336254548064,5065296137536143360
464b9c,9,55.951178017182954,9.17938409371909,5065313729722187776
464bb,8,56.06651999294751,8.83319776111947,5065335719954743296
464bc4,9,56.32105733930456,9.049016167968404,5065357710187298816
464bd4,9,56.515722879321,8.855178792808367,5065375302373343232
464bdc,9,56.49717908908329,9.110086813128891,5065384098466365440
464be1,10,56.526928542190966,9.31728548061968,5065389596024504320
464be5,10,56.429191559969304,9.413580965745155,5065393994071015424
464be7,10,56.43887225441124,9.28595773156633,5065396193094270976
464bec,9,56.30213897221335,9.302776880343952,5065401690652409856
464bf4,9,56.28264418290036,9.557031169982832,5065410486745432064
464bfc,9,56.45835109689095,9.621404523247241,5065419282838454272
464c04,9,56.43806010351888,9.877787848186243,5065428078931476480
464c09,10,56.31150250170534,9.76437277544702,5065433576489615360
464c0f,10,56.30129239917963,9.892063242094173,5065440173559382016
464c14,9,56.24191201299902,10.066968385312105,5065445671117520896
464c1d,10,56.4663301692628,10.087311560261412,5065455566722170880
464c24,9,56.39570763822364,10.391936674567965,5065463263303565312
464c2c,9,56.37363977583568,10.649675143924844,5065472059396587520
464c34,9,56.19883483574193,10.578722520759566,5065480855489609728
464c3c,9,56.22066813332489,10.32262498611578,5065489651582631936
464c5,8,55.94796449901023,10.346847159888904,5065511641815187456
464c61,10,55.843467496995316,9.980358684827985,5065530333512859648
464c63,10,55.85369357855502,9.854463444087385,5065532532536115200
464c65,10,55.94099766587296,9.887184733092328,5065534731559370752
464c6c,9,56.066926363631275,10.000038450710873,5065542428140765184
464c74,9,56.087364023665536,9.746465694747892,5065551224233787392
464c84,9,55.73782583020439,9.617985199770406,5065568816419831808
464c8c,9,55.71782065659597,9.868347705837472,5065577612512854016
464c94,9,55.5437096848058,9.803564911709183,5065586408605876224
464c9c,9,55.563502260538506,9.554783502958982,5065595204698898432
464ca4,9,55.389481617172045,9.492260160600956,5065604000791920640
464cac,9,55.21576825097105,9.430404920146689,5065612796884942848
464cb9,10,55.321524887018256,9.785341215934729,5065627090536103936
464cbf,10,55.40832764090318,9.817408410428667,5065633687605870592
464cc4,9,55.349759917743135,9.987157141738562,5065639185164009472
464ccc,9,55.17646793114346,9.922203998553355,5065647981257031680
464cd5,10,55.10757379339986,10.213897730295914,5065657876861681664
464cdc,9,55.32906053512495,10.23529080364499,5065665573443076096
464ce4,9,55.5024333178093,10.302504351668954,5065674369536098304
