,cell_token,level,center_lat,center_lng,id,hierarchical_label
2448,46eb37,10,58.38286264991673,26.68393550662536,5110238675321487360,21232230313
2449,46eb3b,10,58.27136069994275,26.74159510318392,5110243073367998464,21232230323
2450,46eb3d,10,58.19279207748419,26.65332225999018,5110245272391254016,21232230331
2451,46eb3f,10,58.22543488905784,26.507623637182565,5110247471414509568,21232230333
2452,46eb41,10,58.257887566016365,26.36176554790519,5110249670437765120,21232231001
2453,46eb43,10,58.29014975270849,26.21575008142038,5110251869461020672,21232231003
2454,46eb45,10,58.36918440957155,26.303009966905314,5110254068484276224,21232231011
2455,46eb49,10,58.41562669031671,26.5374018131368,5110258466530787328,21232231021
2456,46eb4b,10,58.49446405910776,26.62587643459016,5110260665554042880,21232231023
2457,46eb4f,10,58.44819900004883,26.390705421350933,5110265063600553984,21232231033
2458,46eb51,10,58.48057921877435,26.24384844821376,5110267262623809536,21232231101
2459,46eb53,10,58.55972810021502,26.33163850739061,5110269461647065088,21232231103
2460,46eb64,9,58.21925336835004,25.867129533714408,5110288153344737280,2123223121
2461,46eb6c,9,58.15557054588225,26.158443030610563,5110296949437759488,2123223123
2462,46eb71,10,58.05293615910947,25.956557429162796,5110302446995898368,21232231301
2463,46eb77,10,57.97383198286534,25.87101348962865,5110309044065665024,21232231313
2464,46eb79,10,58.00529360422975,25.726210758790952,5110311243088920576,21232231321
2465,46eb7d,10,58.11597299296412,25.66612372258349,5110315641135431680,21232231331
2466,46eb8c,9,57.74319361533058,25.359452799357012,5110332133809848320,2123223203
2467,46eb94,9,57.68132009904284,25.646674492501944,5110340929902870528,2123223211
2468,46eba1,10,57.83152861241575,26.074385985067227,5110355223554031616,21232232201
2469,46eba3,10,57.75269815246331,25.989010731853416,5110357422577287168,21232232203
2470,46eba9,10,57.76759593453788,26.362293524650102,5110364019647053824,21232232221
2471,46ebad,10,57.65697717980415,26.41965518272848,5110368417693564928,21232232231
2472,46ebaf,10,57.6890700553639,26.27625453117248,5110370616716820480,21232232233
2473,46ebbf,10,57.59499645756381,25.81951216752101,5110388208902864896,21232232333
2474,46ebd,8,57.35116707865576,25.823210755685853,5110406900600537088,212322331
2475,46ebe1,10,57.31009907467184,25.34361905579528,5110425592298209280,21232233201
2476,46ebe3,10,57.34055615233107,25.20165751843108,5110427791321464832,21232233203
2477,46ebe7,10,57.38914508651846,25.42618967515457,5110432189367975936,21232233213
2478,46ec0d,10,57.699854589692094,24.87639589047306,5110473970809831424,21232300031
2479,46ec3,8,57.71263632364786,24.109203147635093,5110512453716803584,212323003
2480,46ec47,10,57.898951861466,24.381897869883087,5110537742484242432,21232301013
2481,46ec5b,10,58.05960371027082,24.544477372539543,5110559732716797952,21232301123
2482,46ec6b,10,57.83965619922332,24.670434881363413,5110577324902842368,21232301223
2483,46ec71,10,57.85935882845491,25.040977748874536,5110583921972609024,21232301301
2484,46ec77,10,57.82890864052346,25.18515893128048,5110590519042375680,21232301313
2485,46ec7c,9,57.96365161334748,25.237864856679444,5110596016600514560,2123230133
2486,46ec83,10,58.147207176830506,25.520690855351575,5110603713181908992,21232302003
2487,46ec85,10,58.17825145896825,25.37511680912717,5110605912205164544,21232302011
2488,46ec89,10,58.129250589139815,25.14559202441522,5110610310251675648,21232302021
2489,46ec8b,10,58.15976596824278,25.00009601402283,5110612509274931200,21232302023
2490,46ec8d,10,58.23976912426447,25.083553752578283,5110614708298186752,21232302031
2491,46ec97,10,58.36877700605602,25.39829817269572,5110625703414464512,21232302113
2492,46ec99,10,58.33762320428315,25.544715706734674,5110627902437720064,21232302121
2493,46ec9d,10,58.22674996024946,25.605626774041003,5110632300484231168,21232302131
2494,46eca4,9,58.441350096736215,25.7464570498591,5110639997065625600,2123230221
2495,46ecab,10,58.6242198479158,26.03675604132076,5110647693647020032,21232302223
2496,46ecad,10,58.65617523849883,25.88907850178946,5110649892670275584,21232302231
2497,46ecb1,10,58.60817224362561,25.6548576182533,5110654290716786688,21232302301
2498,46ecb3,10,58.68793652328611,25.741246333019355,5110656489740042240,21232302303
2499,46ecb5,10,58.71950337428176,25.59326173532715,5110658688763297792,21232302311
2500,46ecb7,10,58.63958686955033,25.50723002785752,5110660887786553344,21232302313
2501,46ecbc,9,58.50411071278058,25.45256329261288,5110666385344692224,2123230233
2502,46ecc5,10,58.621598818314176,25.12665938972251,5110676280949342208,21232303011
